_id,type,transaction_date,amount,status,medium,description,merchant_name,category,payer_id,payee_id,raw_source_table,raw_source_id,created_at
p_22fecef3ca5384e03fe044c2af8424ac,merchant,2024-01-03,-94.62,completed,balance,LEGO Store,LEGO Store,kids_pets,account_123,,purchase,22fecef3ca5384e03fe044c2af8424ac,2025-10-25T18:50:18.14712
p_f37c949bbdc8addd1e2e4fb30ab8f8c0,merchant,2024-01-05,-8.55,completed,balance,Amazon,Amazon,misc_net,account_123,,purchase,f37c949bbdc8addd1e2e4fb30ab8f8c0,2025-10-25T18:50:18.14712
p_effd2a3df1567c420686d95fbeb37d13,merchant,2024-01-06,-90.35,completed,balance,ExxonMobil,ExxonMobil,gas_transport,account_123,,purchase,effd2a3df1567c420686d95fbeb37d13,2025-10-25T18:50:18.14712
p_04073ba960e77dd2bf225199c14381ed,merchant,2024-01-06,-54.21,completed,balance,Shell,Shell,gas_transport,account_123,,purchase,04073ba960e77dd2bf225199c14381ed,2025-10-25T18:50:18.14712
p_a78a2552248857e47d7a6218d3905b51,merchant,2024-01-06,-107.54,completed,balance,Amazon,Amazon,misc_net,account_123,,purchase,a78a2552248857e47d7a6218d3905b51,2025-10-25T18:50:18.14712
p_01debf86f68e7fb4d2e34edde33285b1,merchant,2024-01-06,-63.4,completed,balance,ExxonMobil,ExxonMobil,gas_transport,account_123,,purchase,01debf86f68e7fb4d2e34edde33285b1,2025-10-25T18:50:18.14712
p_eff550dc0007ccd24aea0b5d9cd0cb2f,merchant,2024-01-06,-116.0,completed,balance,Target,Target,grocery_pos,account_123,,purchase,eff550dc0007ccd24aea0b5d9cd0cb2f,2025-10-25T18:50:18.14712
p_2cc128ede159ce4ca19b9e9b734b0442,merchant,2024-01-06,-108.04,completed,balance,Sam's Club,Sam's Club,grocery_pos,account_123,,purchase,2cc128ede159ce4ca19b9e9b734b0442,2025-10-25T18:50:18.14712
p_c695cc639989033f96c916bd9c607596,merchant,2024-01-06,-4.37,completed,balance,IKEA,IKEA,home,account_123,,purchase,c695cc639989033f96c916bd9c607596,2025-10-25T18:50:18.14712
p_77c19a6515fcfa02ff2942e173fd41b7,merchant,2024-01-07,-55.71,completed,balance,Shell,Shell,gas_transport,account_123,,purchase,77c19a6515fcfa02ff2942e173fd41b7,2025-10-25T18:50:18.14712
p_dde9735fa217ec217ca08738d2c99053,merchant,2024-01-07,-88.52,completed,balance,HEB,HEB,grocery_pos,account_123,,purchase,dde9735fa217ec217ca08738d2c99053,2025-10-25T18:50:18.14712
p_f8bc3ea859d4978ed54eeddc930c5eaa,merchant,2024-01-07,-126.74,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,f8bc3ea859d4978ed54eeddc930c5eaa,2025-10-25T18:50:18.14712
p_d3fca43288302a53c7956a54075300cf,merchant,2024-01-08,-34.5,completed,balance,BP,BP,gas_transport,account_123,,purchase,d3fca43288302a53c7956a54075300cf,2025-10-25T18:50:18.14712
p_98794be8b81b8ddb6418d30da6e6057a,merchant,2024-01-08,-101.49,completed,balance,HEB,HEB,grocery_pos,account_123,,purchase,98794be8b81b8ddb6418d30da6e6057a,2025-10-25T18:50:18.14712
p_70eb50dbd7380658317ee1ea985f18cf,merchant,2024-01-08,-324.23,completed,balance,Amazon,Amazon,misc_net,account_123,,purchase,70eb50dbd7380658317ee1ea985f18cf,2025-10-25T18:50:18.14712
p_3b1cb3fa39872d66d11091a186fe9fe3,merchant,2024-01-08,-8.56,completed,balance,Temu,Temu,shopping_net,account_123,,purchase,3b1cb3fa39872d66d11091a186fe9fe3,2025-10-25T18:50:18.14712
p_ee0b86ed2f198ccf8a6e1434104d05e9,merchant,2024-01-08,-5.32,completed,balance,Ebay,Ebay,shopping_net,account_123,,purchase,ee0b86ed2f198ccf8a6e1434104d05e9,2025-10-25T18:50:18.14712
p_2c6b021cdba9683c21f33af043920170,merchant,2024-01-08,-23.37,completed,balance,24 Hour Fitness,24 Hour Fitness,health_fitness,account_123,,purchase,2c6b021cdba9683c21f33af043920170,2025-10-25T18:50:18.14712
p_7e749480e277ef3b7212c9cfcef3acd6,merchant,2024-01-08,-179.13,completed,balance,7-Eleven,7-Eleven,misc_pos,account_123,,purchase,7e749480e277ef3b7212c9cfcef3acd6,2025-10-25T18:50:18.14712
p_036dd3127c33a296ef9337c0f2ffc258,merchant,2024-01-08,-221.08,completed,balance,Spotify,Spotify,entertainment,account_123,,purchase,036dd3127c33a296ef9337c0f2ffc258,2025-10-25T18:50:18.14712
p_210c2a8ab75418429b3faa02a2763539,merchant,2024-01-09,-35.31,completed,balance,HBO Max,HBO Max,entertainment,account_123,,purchase,210c2a8ab75418429b3faa02a2763539,2025-10-25T18:50:18.14712
p_8156a77a97392fd16343b73e5d856fab,merchant,2024-01-09,-6.85,completed,balance,Dollar Tree,Dollar Tree,misc_pos,account_123,,purchase,8156a77a97392fd16343b73e5d856fab,2025-10-25T18:50:18.14712
p_fc35e64b2f777b95fa43410bbe20b688,merchant,2024-01-10,-108.18,completed,balance,Costco,Costco,grocery_pos,account_123,,purchase,fc35e64b2f777b95fa43410bbe20b688,2025-10-25T18:50:18.14712
p_d8cfe223a4445ee3e84eb4fcf5f47c42,merchant,2024-01-10,-6.74,completed,balance,CVS,CVS,personal_care,account_123,,purchase,d8cfe223a4445ee3e84eb4fcf5f47c42,2025-10-25T18:50:18.14712
p_e56979379762ae3c8b6548d44cfd8574,merchant,2024-01-11,-74.63,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,e56979379762ae3c8b6548d44cfd8574,2025-10-25T18:50:18.14712
p_5f8b1ccb5f7c4c2a00331f655c36b04d,merchant,2024-01-11,-78.16,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,5f8b1ccb5f7c4c2a00331f655c36b04d,2025-10-25T18:50:18.14712
p_b612763771121cfda7b0038c5d552c63,merchant,2024-01-11,-5.55,completed,balance,Etsy,Etsy,misc_net,account_123,,purchase,b612763771121cfda7b0038c5d552c63,2025-10-25T18:50:18.14712
p_d49213b8a8676ea44dfa77a0a2b99180,merchant,2024-01-11,-45.75,completed,balance,Circle K,Circle K,gas_transport,account_123,,purchase,d49213b8a8676ea44dfa77a0a2b99180,2025-10-25T18:50:18.14712
p_c9784e4d9aa81890dfc2a1eaadfcd1b7,merchant,2024-01-11,-48.39,completed,balance,ExxonMobil,ExxonMobil,gas_transport,account_123,,purchase,c9784e4d9aa81890dfc2a1eaadfcd1b7,2025-10-25T18:50:18.14712
p_f1fd3db9baa4d45d1fe51784c72b1eee,merchant,2024-01-11,-61.92,completed,balance,Chevron,Chevron,gas_transport,account_123,,purchase,f1fd3db9baa4d45d1fe51784c72b1eee,2025-10-25T18:50:18.14712
p_4f9735d342771674051e615cf108075a,merchant,2024-01-11,-159.63,completed,balance,Disney+,Disney+,entertainment,account_123,,purchase,4f9735d342771674051e615cf108075a,2025-10-25T18:50:18.14712
p_c3c3095fdf92c06bdb846667b8b5e851,merchant,2024-01-11,-12.93,completed,balance,Walgreens,Walgreens,personal_care,account_123,,purchase,c3c3095fdf92c06bdb846667b8b5e851,2025-10-25T18:50:18.14712
p_4bbb55c152e08e332764a596205e461b,merchant,2024-01-11,-62.18,completed,balance,Gymshark,Gymshark,health_fitness,account_123,,purchase,4bbb55c152e08e332764a596205e461b,2025-10-25T18:50:18.14712
p_b60988e721124495040f0846b78d4bbd,merchant,2024-01-12,-56.79,completed,balance,ExxonMobil,ExxonMobil,gas_transport,account_123,,purchase,b60988e721124495040f0846b78d4bbd,2025-10-25T18:50:18.14712
p_700b0bcc99b1a5ed1d82547ad4356edf,merchant,2024-01-13,-8.15,completed,balance,7-Eleven,7-Eleven,misc_pos,account_123,,purchase,700b0bcc99b1a5ed1d82547ad4356edf,2025-10-25T18:50:18.14712
p_5e9c94ef5e51044616b70d3010e156f6,merchant,2024-01-13,-33.7,completed,balance,Planet Fitness,Planet Fitness,health_fitness,account_123,,purchase,5e9c94ef5e51044616b70d3010e156f6,2025-10-25T18:50:18.14712
p_1c1307927e8455fff4519c1eff63de30,merchant,2024-01-13,-1.48,completed,balance,Oxxo,Oxxo,misc_pos,account_123,,purchase,1c1307927e8455fff4519c1eff63de30,2025-10-25T18:50:18.14712
p_fe4e9fa549d56f19960ea4695f92827e,merchant,2024-01-14,-71.54,completed,balance,Whole Foods Online,Whole Foods Online,grocery_net,account_123,,purchase,fe4e9fa549d56f19960ea4695f92827e,2025-10-25T18:50:18.14712
p_2f8661653331a8281eed5bf245b903f8,merchant,2024-01-14,-420.65,completed,balance,Gymshark,Gymshark,health_fitness,account_123,,purchase,2f8661653331a8281eed5bf245b903f8,2025-10-25T18:50:18.14712
p_53a97635dc3e56676da258efe92f0a0b,merchant,2024-01-14,-65.98,completed,balance,Gymshark,Gymshark,health_fitness,account_123,,purchase,53a97635dc3e56676da258efe92f0a0b,2025-10-25T18:50:18.14712
p_5d2f281065a57b96c3e7d791c79a1730,merchant,2024-01-14,-1.37,completed,balance,Amazon,Amazon,shopping_net,account_123,,purchase,5d2f281065a57b96c3e7d791c79a1730,2025-10-25T18:50:18.14712
p_f507a531b7741403db51fdb6acedfc0f,merchant,2024-01-15,-53.41,completed,balance,Amazon Fresh,Amazon Fresh,grocery_net,account_123,,purchase,f507a531b7741403db51fdb6acedfc0f,2025-10-25T18:50:18.14712
p_a1e142098f2fe76f6cfb53ba32f58f8f,merchant,2024-01-15,-7.47,completed,balance,Gymshark,Gymshark,health_fitness,account_123,,purchase,a1e142098f2fe76f6cfb53ba32f58f8f,2025-10-25T18:50:18.14712
p_848aac5382f1d022c1f1ee1bbefdf1ea,merchant,2024-01-15,-19.84,completed,balance,Build-A-Bear,Build-A-Bear,kids_pets,account_123,,purchase,848aac5382f1d022c1f1ee1bbefdf1ea,2025-10-25T18:50:18.14712
p_7e14b9960ca37155a9f63b610d9c5909,merchant,2024-01-15,-195.34,completed,balance,PetSmart,PetSmart,kids_pets,account_123,,purchase,7e14b9960ca37155a9f63b610d9c5909,2025-10-25T18:50:18.14712
p_c99af5cfc085cdea019bfd23dd97bcb0,merchant,2024-01-16,-9.19,completed,balance,Apple Store,Apple Store,shopping_pos,account_123,,purchase,c99af5cfc085cdea019bfd23dd97bcb0,2025-10-25T18:50:18.14712
p_e0aec8db86475cefbfac810b2897df6a,merchant,2024-01-16,-10.76,completed,balance,Walgreens,Walgreens,personal_care,account_123,,purchase,e0aec8db86475cefbfac810b2897df6a,2025-10-25T18:50:18.14712
p_9840bb2945cf04ad9a9824a01e34e3a1,merchant,2024-01-16,-33.91,completed,balance,Lowe’s,Lowe’s,home,account_123,,purchase,9840bb2945cf04ad9a9824a01e34e3a1,2025-10-25T18:50:18.14712
p_5482f27802b245e18eb7220d95371245,merchant,2024-01-17,-6.63,completed,balance,7-Eleven,7-Eleven,misc_pos,account_123,,purchase,5482f27802b245e18eb7220d95371245,2025-10-25T18:50:18.14712
p_25b63332303c4db6c9d91862f8874196,merchant,2024-01-17,-2.28,completed,balance,Zara,Zara,shopping_pos,account_123,,purchase,25b63332303c4db6c9d91862f8874196,2025-10-25T18:50:18.14712
p_b7b8fe440e0abf5e9b8cf1e27cafa385,merchant,2024-01-17,-170.54,completed,balance,Ulta Beauty,Ulta Beauty,personal_care,account_123,,purchase,b7b8fe440e0abf5e9b8cf1e27cafa385,2025-10-25T18:50:18.14712
p_3d5cb1ba1ea94fb809fb1df48e53b42f,merchant,2024-01-19,-107.39,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,3d5cb1ba1ea94fb809fb1df48e53b42f,2025-10-25T18:50:18.14712
p_d05f6b890e07d7cbca828ff0d3eafd54,merchant,2024-01-19,-68.72,completed,balance,Chevron,Chevron,gas_transport,account_123,,purchase,d05f6b890e07d7cbca828ff0d3eafd54,2025-10-25T18:50:18.14712
p_eec55970b6f1d8315783905193c26aff,merchant,2024-01-19,-372.46,completed,balance,Petco,Petco,kids_pets,account_123,,purchase,eec55970b6f1d8315783905193c26aff,2025-10-25T18:50:18.14712
p_e420d9607ae502389815c63f689eb1ee,merchant,2024-01-19,-114.72,completed,balance,AMC Theatres,AMC Theatres,entertainment,account_123,,purchase,e420d9607ae502389815c63f689eb1ee,2025-10-25T18:50:18.14712
p_3586553c588e5bf2b7ea1cd148c9cf3a,merchant,2024-01-19,-37.0,completed,balance,Planet Fitness,Planet Fitness,health_fitness,account_123,,purchase,3586553c588e5bf2b7ea1cd148c9cf3a,2025-10-25T18:50:18.14712
p_223634609850b6ce9c6ff82a564e83ed,merchant,2024-01-20,-116.39,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,223634609850b6ce9c6ff82a564e83ed,2025-10-25T18:50:18.14712
p_1e7d825f495abc076a6105b625ee768b,merchant,2024-01-20,-56.6,completed,balance,Circle K,Circle K,gas_transport,account_123,,purchase,1e7d825f495abc076a6105b625ee768b,2025-10-25T18:50:18.14712
p_d9491cba0e4c37361fe6b690d5281bb4,merchant,2024-01-20,-3.24,completed,balance,Walmart,Walmart,travel,account_123,,purchase,d9491cba0e4c37361fe6b690d5281bb4,2025-10-25T18:50:18.14712
p_de20785545c4b2be935699c03d4995b1,merchant,2024-01-20,-46.49,completed,balance,Lowe’s,Lowe’s,home,account_123,,purchase,de20785545c4b2be935699c03d4995b1,2025-10-25T18:50:18.14712
p_a4055c8ae37352e8955447fc776ffa99,merchant,2024-01-21,-1639.42,completed,balance,Ebay,Ebay,shopping_net,account_123,,purchase,a4055c8ae37352e8955447fc776ffa99,2025-10-25T18:50:18.14712
p_b0b0ebf8d65dd3f59e77fd38b9390b68,merchant,2024-01-21,-128.37,completed,balance,LEGO Store,LEGO Store,kids_pets,account_123,,purchase,b0b0ebf8d65dd3f59e77fd38b9390b68,2025-10-25T18:50:18.14712
p_464eb7f5b84c7a0637c1198647d710af,merchant,2024-01-21,-5.32,completed,balance,7-Eleven,7-Eleven,misc_pos,account_123,,purchase,464eb7f5b84c7a0637c1198647d710af,2025-10-25T18:50:18.14712
p_ba289810dbc695fe28f55745abd9e384,merchant,2024-01-21,-163.45,completed,balance,Lowe’s,Lowe’s,home,account_123,,purchase,ba289810dbc695fe28f55745abd9e384,2025-10-25T18:50:18.14712
p_38e5956c99921f87b68e0232fd7830ef,merchant,2024-01-21,-23.45,completed,balance,AMC Theatres,AMC Theatres,entertainment,account_123,,purchase,38e5956c99921f87b68e0232fd7830ef,2025-10-25T18:50:18.14712
p_0c12673c32e68f62484d0beb1a3cf062,merchant,2024-01-22,-11.15,completed,balance,Instacart,Instacart,grocery_net,account_123,,purchase,0c12673c32e68f62484d0beb1a3cf062,2025-10-25T18:50:18.14712
p_60b55e91b3ea0e1a719f481f75b5dc51,merchant,2024-01-22,-61.23,completed,balance,ExxonMobil,ExxonMobil,gas_transport,account_123,,purchase,60b55e91b3ea0e1a719f481f75b5dc51,2025-10-25T18:50:18.14712
p_d88f2ffe5402a73f9350075d148eb69a,merchant,2024-01-22,-71.94,completed,balance,Instacart,Instacart,grocery_net,account_123,,purchase,d88f2ffe5402a73f9350075d148eb69a,2025-10-25T18:50:18.14712
p_57f77d7bbb7d26c8ec09c47a9cf85603,merchant,2024-01-22,-39.69,completed,balance,Sephora,Sephora,personal_care,account_123,,purchase,57f77d7bbb7d26c8ec09c47a9cf85603,2025-10-25T18:50:18.14712
p_fe08e69b88c7402386895ae170aead7d,merchant,2024-01-22,-125.34,completed,balance,24 Hour Fitness,24 Hour Fitness,health_fitness,account_123,,purchase,fe08e69b88c7402386895ae170aead7d,2025-10-25T18:50:18.14712
p_6f23dfc3e1061ef348cfde3ddf7fb96b,merchant,2024-01-22,-3.79,completed,balance,Temu,Temu,shopping_net,account_123,,purchase,6f23dfc3e1061ef348cfde3ddf7fb96b,2025-10-25T18:50:18.14712
p_ee0ac193a8fc860834fa4694bb205212,merchant,2024-01-22,-2.69,completed,balance,Ebay,Ebay,shopping_net,account_123,,purchase,ee0ac193a8fc860834fa4694bb205212,2025-10-25T18:50:18.14712
p_0c8b99d21c160de80d24fc34cc902de4,merchant,2024-01-23,-94.48,completed,balance,Walmart,Walmart,grocery_pos,account_123,,purchase,0c8b99d21c160de80d24fc34cc902de4,2025-10-25T18:50:18.14712
p_1229fae67c052332956a8de1ace98a67,merchant,2024-01-24,-64.08,completed,balance,Amazon Fresh,Amazon Fresh,grocery_net,account_123,,purchase,1229fae67c052332956a8de1ace98a67,2025-10-25T18:50:18.14712
p_98436cf6bc059e7391d7434273d5eb0f,merchant,2024-01-24,-5.23,completed,balance,Best Buy,Best Buy,shopping_pos,account_123,,purchase,98436cf6bc059e7391d7434273d5eb0f,2025-10-25T18:50:18.14712
p_9c39967567a8a206a529f05e603f640f,merchant,2024-01-25,-91.49,completed,balance,Sam's Club,Sam's Club,grocery_pos,account_123,,purchase,9c39967567a8a206a529f05e603f640f,2025-10-25T18:50:18.14712
p_454a44746dd4ab912366f65b20f41f13,merchant,2024-01-25,-22.86,completed,balance,Build-A-Bear,Build-A-Bear,kids_pets,account_123,,purchase,454a44746dd4ab912366f65b20f41f13,2025-10-25T18:50:18.14712
p_6b888db4bf4380a4e3a26b1371acb0e3,merchant,2024-01-25,-74.49,completed,balance,KFC,KFC,food_dining,account_123,,purchase,6b888db4bf4380a4e3a26b1371acb0e3,2025-10-25T18:50:18.14712
p_dc9487012c59c3a991eead44b392f2e5,merchant,2024-01-27,-106.72,completed,balance,Disney+,Disney+,entertainment,account_123,,purchase,dc9487012c59c3a991eead44b392f2e5,2025-10-25T18:50:18.14712
p_25dee25c3ec63fc17841d06e98cda13d,merchant,2024-01-27,-14.0,completed,balance,Lowe’s,Lowe’s,home,account_123,,purchase,25dee25c3ec63fc17841d06e98cda13d,2025-10-25T18:50:18.14712
p_5069c3c60542050510b868ae85022729,merchant,2024-01-27,-76.53,completed,balance,Peloton,Peloton,health_fitness,account_123,,purchase,5069c3c60542050510b868ae85022729,2025-10-25T18:50:18.14712
p_c987ef73b144077df1ed184d660023a8,merchant,2024-01-27,-37.03,completed,balance,Sephora,Sephora,personal_care,account_123,,purchase,c987ef73b144077df1ed184d660023a8,2025-10-25T18:50:18.14712
p_2cf409aeadf184d985bd87b109e54038,merchant,2024-01-28,-74.23,completed,balance,Circle K,Circle K,gas_transport,account_123,,purchase,2cf409aeadf184d985bd87b109e54038,2025-10-25T18:50:18.14712
p_6e3e1443241bfa76b1746a56c2fbf4c0,merchant,2024-01-28,-4.87,completed,balance,H&M,H&M,shopping_pos,account_123,,purchase,6e3e1443241bfa76b1746a56c2fbf4c0,2025-10-25T18:50:18.14712
p_8179cf9831fb6589ea0dbd325addaaac,merchant,2024-01-28,-5.96,completed,balance,Lowe’s,Lowe’s,home,account_123,,purchase,8179cf9831fb6589ea0dbd325addaaac,2025-10-25T18:50:18.14712
p_3858f9d81d9a67dfd9d4a69fcc241938,merchant,2024-01-28,-3.59,completed,balance,PetSmart,PetSmart,kids_pets,account_123,,purchase,3858f9d81d9a67dfd9d4a69fcc241938,2025-10-25T18:50:18.14712
p_94465083fccc76b19e65a1a339a63f7d,merchant,2024-01-28,-7.13,completed,balance,IKEA,IKEA,shopping_pos,account_123,,purchase,94465083fccc76b19e65a1a339a63f7d,2025-10-25T18:50:18.14712
p_e6eb6e470390a3d5933e489582401cd6,merchant,2024-01-28,-29.51,completed,balance,Petco,Petco,kids_pets,account_123,,purchase,e6eb6e470390a3d5933e489582401cd6,2025-10-25T18:50:18.14712
p_b5eef1506bf68d0b60b83b9b9ae4b9c7,merchant,2024-01-28,-9.88,completed,balance,Subway,Subway,food_dining,account_123,,purchase,b5eef1506bf68d0b60b83b9b9ae4b9c7,2025-10-25T18:50:18.14712
p_36a4c22bc087f1ecf9c8c6a574990908,merchant,2024-01-29,-25.44,completed,balance,LEGO Store,LEGO Store,kids_pets,account_123,,purchase,36a4c22bc087f1ecf9c8c6a574990908,2025-10-25T18:50:18.14712
p_5ff281f265566ca010dd87427b4d081f,merchant,2024-01-29,-65.08,completed,balance,Spotify,Spotify,entertainment,account_123,,purchase,5ff281f265566ca010dd87427b4d081f,2025-10-25T18:50:18.14712
p_32976ecd9339bda3c97dd1b97e26deb6,merchant,2024-01-30,-54.37,completed,balance,BP,BP,gas_transport,account_123,,purchase,32976ecd9339bda3c97dd1b97e26deb6,2025-10-25T18:50:18.14712
p_b1e94c2fd8d3892cf62dd52caa9a5789,merchant,2024-01-30,-9.16,completed,balance,Ebay,Ebay,shopping_net,account_123,,purchase,b1e94c2fd8d3892cf62dd52caa9a5789,2025-10-25T18:50:18.14712
p_6ba941d082f81677e0d80b27e4084cff,merchant,2024-01-31,-53.74,completed,balance,Chevron,Chevron,gas_transport,account_123,,purchase,6ba941d082f81677e0d80b27e4084cff,2025-10-25T18:50:18.14712
p_a3dc0905d97145ecfe9f3123a5a0f8bd,merchant,2024-01-31,-84.96,completed,balance,Instacart,Instacart,grocery_net,account_123,,purchase,a3dc0905d97145ecfe9f3123a5a0f8bd,2025-10-25T18:50:18.14712
p_56a52ecf9cf58452bb5ba48add4d303f,merchant,2024-01-31,-99.86,completed,balance,Target,Target,grocery_pos,account_123,,purchase,56a52ecf9cf58452bb5ba48add4d303f,2025-10-25T18:50:18.14712
p_2c698cd6b7d9f9512a0e02de1926c7fa,merchant,2024-01-31,-42.09,completed,balance,Chevron,Chevron,gas_transport,account_123,,purchase,2c698cd6b7d9f9512a0e02de1926c7fa,2025-10-25T18:50:18.14712
